Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"7,28821085427267E-09","-0,0312986108746525","0,0932096931732312",0,0,0,"20,0492472962775","0,42456573822721","2,25689566012382E-08","5,84807332589748E-08","0,340168889865835","0,0409817615285214","0,498794097553436",0,0,0,0,0,0,package://Ensamble_robot_final/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Ensamble_robot_final/meshes/base_link.STL,,base-1,Sistema de coordenadas0_1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"1,56254648109311E-10","-7,87726645271316E-16","0,373075746734315",0,0,0,"39,1896246119642","0,759744390185537","-3,39614758915942E-09","3,42502037075738E-09","0,831766902274228","-5,39816054409888E-17","0,295622833052641",0,0,0,0,0,0,package://Ensamble_robot_final/meshes/link_1.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Ensamble_robot_final/meshes/link_1.STL,,link1-1,Sistema de coordenadas0_1,Eje1,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,1,300,3,"-3,142","3,142",,,,,,,,
link_2,0,"0,191560014270782","-9,64251929778137E-18",0,0,0,"41,7432461481157","1,9310205220817","-1,83162657883282E-16","4,05786764053947E-12","0,423793811309006","5,85586251310983E-17","1,67596873799866",0,0,0,0,0,0,package://Ensamble_robot_final/meshes/link_2.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Ensamble_robot_final/meshes/link_2.STL,,link2-2,Sistema de coordenadas2,Eje2,joint_2,revolute,0,0,"0,496","1,5708",0,0,link_1,0,0,1,200,3,"-1,57","1,57",,,,,,,,
link_3,"0,121182198441889","-0,136185998839769","-0,0100000000304142",0,0,0,"32,5621952947336","0,913688737120272","0,107723690437499","-1,24695184677513E-09","0,203128735188212","-2,19257314381973E-11","1,00099194800661",0,0,0,0,0,0,package://Ensamble_robot_final/meshes/link_3.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Ensamble_robot_final/meshes/link_3.STL,,link3-1,Sistema de coordenadas3,Eje3,joint_3,revolute,0,"0,5",0,"-3,1416",0,"1,8978",link_2,0,0,-1,200,3,"-3,142",0,,,,,,,,
link_4,"-8,88855227509922E-06","0,0926229710681017","0,0100024098888781",0,0,0,"2,22259173055462","0,0202463092846155","2,76633683952841E-06","-1,77024807333704E-08","0,00422710562995253","-9,12913840632942E-07","0,020821809914009",0,0,0,0,0,0,package://Ensamble_robot_final/meshes/link_4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Ensamble_robot_final/meshes/link_4.STL,,pieza4-2,Sistema de coordenadas6,Eje4,joint_4,revolute,"0,145","-0,42746",0,"3,1416",0,"-1,2438",link_3,0,0,-1,200,3,"-3,142",0,,,,,,,,
